ID,代表名,別名1,別名2,別名3,別名4,別名5,別名7,別名8,別名9,別名10,別名11,将星録,烈風伝,嵐世記,蒼天録,天下創世,革新,天道,創造,大志,天翔記-誕生,将星録-誕生,烈風伝-誕生,嵐世記-誕生,蒼天録-誕生,天下創世-誕生,革新-誕生,天道-誕生,創造-誕生,大志-誕生,天翔記-死亡,将星録-死亡,烈風伝-死亡,嵐世記-死亡,蒼天録-死亡,天下創世-死亡,革新-死亡,天道-死亡,創造-死亡,大志-死亡,天翔記-列伝,将星録-列伝,烈風伝-列伝,嵐世記-列伝,蒼天録-列伝,天下創世-列伝,革新-列伝,天道-列伝,創造-列伝,大志-列伝,列伝-有効
790,別所 就治,,,,,,別所 村治,別所 重治,,,,0,735,969,1050,729,727,975,1288,727,1502,#N/A,1502,1502,1502,1502,1502,1502,1502,1502,1563,#N/A,1563,1563,1563,1563,1563,1563,1563,1563,赤松家庶流。播磨随一の堅城と言われる三木城を居城とした。尼子晴久や三好長慶に度々侵攻されたが、そのつど敵軍を撃退し、東播磨に武名を鳴り響かせた。,#N/A,播磨三木城主。浦上家と結んで赤松家と争う。浦上家に敗れて居城を失ったがほどなく復帰。赤松家の衰退に乗じて所領を拡大した。のち三好長慶に属した。,播磨の豪族。三木城主。別所家は赤松家の庶流。赤松宗家の衰退に乗じて勢力を拡大し、東播磨八郡を領した。のち細川晴元や三好長慶に属して各地で戦った。,播磨の豪族。三木城主。別所家は赤松家の庶流。赤松宗家の衰退に乗じて勢力を拡大し、東播磨８郡を領した。のち細川晴元や三好長慶に属して各地で戦った。,播磨の豪族。三木城主。別所家は赤松家の庶流。赤松宗家の衰退に乗じて勢力を拡大し、東播磨８郡を領した。のち細川晴元や三好長慶に属して各地で戦った。,播磨の豪族。三木城主。別所家は赤松家の庶流。赤松宗家の衰退に乗じて勢力を拡大し、東播磨８郡を領した。のち細川晴元や三好長慶に属して各地で戦った。,播磨の豪族。三木城主。別所家は赤松家の庶流。赤松宗家の衰退に乗じて勢力を拡大し、東播磨８郡を領した。のち細川晴元や三好長慶に属して各地で戦った。,播磨の豪族。三木城主。別所家は赤松家の庶流。赤松宗家の衰退に乗じて勢力を拡大し、東播磨８郡を領した。のち細川晴元や三好長慶に属して各地で戦った。,播磨の豪族。三木城主。別所家は赤松家の庶流。赤松宗家の衰退に乗じて勢力を拡大し、東播磨８郡を領した。のち細川晴元や三好長慶に属して各地で戦った。,9
791,別所 安治,,,,,,別所 長勝,,,,,0,736,970,1051,730,728,976,1290,728,1532,#N/A,1532,1532,1532,1532,1532,1532,1532,1532,1570,#N/A,1570,1570,1570,1570,1570,1570,1570,1570,別所長治の父。三木城主。３９歳で病没別所家は播州の名門・赤松家の支族である。赤松頼清が加西郡別所に移り、別所家を称したのが興りであるという。,#N/A,三好家臣。播磨三木城主。就治の子。畿内を制圧した織田信長に服属し、東播磨の所領を着実に拡大。子・長治の代に最盛期に至る。,播磨の豪族。三木城主。就治の嫡男。三好長慶の侵攻軍を撃退した。将軍・足利義昭が三好三人衆に襲われた際、弟・重棟を派遣し、織田信長に功を賞された。,播磨の豪族。三木城主。就治の嫡男。三好長慶の侵攻軍を撃退した。将軍・足利義昭が三好三人衆に襲われた際、弟・重宗を派遣し、織田信長に功を賞された。,播磨の豪族。三木城主。就治の嫡男。三好長慶の侵攻軍を撃退した。将軍・足利義昭が三好三人衆に襲われた際、弟・重宗を派遣し、織田信長に功を賞された。,播磨の豪族。三木城主。就治の嫡男。三好長慶の侵攻軍を撃退した。将軍・足利義昭が三好三人衆に襲われた際、弟・重宗を派遣し、織田信長に功を賞された。,播磨の豪族。三木城主。就治の嫡男。三好長慶の侵攻軍を撃退した。将軍・足利義昭が三好三人衆に襲われた際、弟・重宗を派遣し、織田信長に功を賞された。,播磨の豪族。三木城主。就治の嫡男。三好長慶の侵攻軍を撃退した。将軍・足利義昭が三好三人衆に襲われた際、弟・重宗を派遣し、織田信長に功を賞された。,播磨の豪族。三木城主。就治の嫡男。三好長慶の侵攻軍を撃退した。将軍・足利義昭が三好三人衆に襲われた際、弟・重棟を派遣し、織田信長に功を賞された。,9
792,別所 重宗,別所 孫右衛門,,,,,別所 重棟,,,,,514,737,972,1053,732,0,0,1289,1674,1537,1538,1529,1529,1539,1539,#N/A,#N/A,1529,1529,1591,1591,1591,1591,1591,1591,#N/A,#N/A,1591,1591,兄・別所安治の死後、甥・長治を補佐し織田信長に仕える。のち、毛利家に内通したため、豊臣秀吉の怒りを買い、攻められて開城した。,村治の子。兄・安治の死後、甥・長治を補佐し、織田信長に仕える。長治の死後は浪人となる。豊臣秀吉に仕えて１万５千石を領し、九州征伐に従軍した。,就治の子。兄・安治の死後、甥・長治を補佐し、織田信長に仕える。長治の死後は浪人となる。豊臣秀吉に仕えて１万５千石を領し、九州征伐に従軍した。,別所家臣。就治の子。甥・長治を補佐する。長治が織田信長に背いた際はこれに従った。長治の死後、浪人生活を経て豊臣秀吉に仕え、九州征伐に従軍した。,別所家臣。就治の子。甥・長治を補佐する。長治が織田信長に背いた際は、これに従った。長治の死後、浪人生活を経て豊臣秀吉に仕え、九州征伐に従軍した。,別所家臣。就治の子。甥・長治を補佐する。長治が織田信長に背いた際は、これに従った。長治の死後、浪人生活を経て豊臣秀吉に仕え、九州征伐に従軍した。,#N/A,#N/A,別所家臣。就治の子。甥・長治を補佐する。長治が織田信長に背いた際は、これに従った。長治の死後、浪人生活を経て豊臣秀吉に仕え、九州征伐に従軍した。,別所家臣。就治の子。甥・長治を補佐する。長治が織田信長に背いた際は、これに従った。長治の死後、浪人生活を経て豊臣秀吉に仕え、九州征伐に従軍した。,8
793,浦上 政宗,浦上 与四郎,,,,,,,,,,510,739,982,1068,0,0,1004,1298,1232,1507,1510,1510,1510,1510,#N/A,#N/A,1525,1525,1525,1566,1566,1566,1566,1566,#N/A,#N/A,1564,1564,1564,赤松家臣。主家を圧倒して勢力を拡大した。子・清宗に黒田職隆の娘を迎えて勢力の安定を図るが、婚礼当日に赤松政秀軍の襲撃を受け、戦死した。,赤松家臣。主家を圧倒する勢力を持つ。子・清宗に黒田職隆の娘を娶らせ、職隆の主君・小寺政職との連携を図る。婚礼当日に赤松政秀に襲撃され、戦死した。,赤松家臣。主家を圧倒する勢力を持つ。子・清宗に黒田職隆の娘を娶らせ、職隆の主君・小寺政職との連携を図る。婚礼当日に赤松政秀に襲撃され、戦死した。,赤松家臣。播磨室津城主。子・清宗に黒田職隆の娘を娶らせ、職隆の主君・小寺政職との連携を図るが、婚礼当日に赤松政秀に襲われ、清宗とともに戦死した。,赤松家臣。室津城主。子・清宗に黒田職隆の娘を娶らせ、職隆の主君・小寺政職との連携強化を企むが、婚礼当日に赤松政秀に襲われ、清宗とともに戦死した。,#N/A,#N/A,赤松家臣。室津城主。子・清宗に黒田職隆の娘を娶らせ、職隆の主君・小寺政職との連携強化を企むが、婚礼当日に赤松政秀に襲われ、清宗とともに戦死した。,赤松家臣。室津城主。子・清宗に黒田職隆の娘を娶らせ、職隆の主君・小寺政職との連携強化を企むが、婚礼当日に赤松政秀に襲われ、清宗とともに戦死した。,赤松家臣。室津城主。子・清宗に黒田職隆の娘を娶らせ、職隆の主君・小寺政職との連携強化を企むが、婚礼当日に赤松政秀に襲われ、清宗とともに戦死した。,8
794,小寺 政職,,,,,,,,,,,511,740,983,1070,739,736,992,1300,736,1518,1517,1517,1517,1525,1525,1525,1525,1525,1525,????,????,????,1579,1582,1582,1582,1582,1582,1582,播磨の豪族。黒田官兵衛が若い頃に仕えていた人物として知られる。信長の中国遠征軍に抵抗したが、落城する。逃亡してから後は、行方知れずとなった。,播磨御着城主。黒田官兵衛が最初に仕えた人物。播磨の諸豪族と結んで織田信長の中国遠征軍に抵抗するが敗北した。その後の行方は知れない。,播磨御着城主。黒田官兵衛が最初に仕えた人物。播磨の諸豪族と結んで織田信長の中国遠征軍に抵抗するが敗北した。その後の行方は知れない。,播磨の豪族。御着城主。別所家と親交を結ぶ。はじめ織田家に属すが、荒木村重の謀叛に別所家とともに同調したため、羽柴秀吉の攻撃を受け敗北、逃亡した。,赤松家臣。御着城主。則職の子。別所家と親交を結ぶ。のち織田家に属すが、別所家とともに荒木村重の謀叛に同調。羽柴秀吉軍の攻撃を受け敗北、逃亡した。,赤松家臣。御着城主。則職の子。別所家と親交を結ぶ。のち織田家に属すが、別所家とともに荒木村重の謀叛に同調。羽柴秀吉軍の攻撃を受け敗北、逃亡した。,赤松家臣。御着城主。則職の子。別所家と親交を結ぶ。のち織田家に属すが、別所家とともに荒木村重の謀叛に同調。羽柴秀吉軍の攻撃を受け敗北、逃亡した。,赤松家臣。御着城主。則職の子。別所家と親交を結ぶ。のち織田家に属すが、別所家とともに荒木村重の謀叛に同調。羽柴秀吉軍の攻撃を受け敗北、逃亡した。,赤松家臣。御着城主。則職の子。別所家と親交を結ぶ。のち織田家に属すが、別所家とともに荒木村重の謀叛に同調。羽柴秀吉軍の攻撃を受け敗北、逃亡した。,赤松家臣。御着城主。則職の子。別所家と親交を結ぶ。のち織田家に属すが、別所家とともに荒木村重の謀叛に同調。羽柴秀吉軍の攻撃を受け敗北、逃亡した。,10
795,黒田 重隆,,,,,,,,,,,0,0,984,0,0,0,993,1314,1231,1508,#N/A,#N/A,1508,#N/A,#N/A,#N/A,1508,1508,1508,1564,#N/A,#N/A,1564,#N/A,#N/A,#N/A,1564,1564,1564,黒田職隆の父。黒田家は、鎌倉期に京極満信の次男が近江黒田村で黒田家を称したのが始まり。のち、いったん備前福岡に移り、重隆の代に播磨姫路に移った。,#N/A,#N/A,播磨の豪族。備前福岡から播磨姫路に移り住む。「玲珠膏」と名付けた目薬を売って財力を蓄え、子・職隆を小寺家に出仕させるなど、黒田家の土台を作った。,#N/A,#N/A,#N/A,播磨の豪族。備前福岡から播磨姫路に移り住む。「玲珠膏」と名付けた目薬を売って財力を蓄え、子・職隆を小寺家に出仕させるなど、黒田家の土台を作った。,播磨の豪族。備前福岡から播磨姫路に移り住む。「玲珠膏」と名付けた目薬を売って財力を蓄え、子・職隆を小寺家に出仕させるなど、黒田家の土台を作った。,播磨の豪族。備前福岡から播磨姫路に移り住む。「玲珠膏」と名付けた目薬を売って財力を蓄え、子・職隆を小寺家に出仕させるなど、黒田家の土台を作った。,5
796,黒田 職隆,,,黒田 満隆,,,小寺 職隆,小寺 識隆,,,黒田 宗円,512,0,985,1071,740,737,994,1315,737,1524,1524,#N/A,1524,1524,1524,1524,1524,1524,1524,????,1584,#N/A,1585,1585,1585,1585,1585,1585,1585,黒田重隆の子。小寺政職に仕えた。のちに政職の娘婿となり、「職」の一字を拝領する。また、小寺姓を許され、政職に重用された。,播磨姫路城主。播磨の豪族・香山重道を討ち、その功により小寺政職に仕える。政職の娘を娶り、家老に就任する。また「小寺」姓と「職」の一字を拝領した。,#N/A,小寺家臣。播磨姫路城主。播磨の豪族・香山重道を討つ功を立て、主君・政職の養女を娶り、家老に就任する。また「小寺」姓と「職」の一字を拝領した。,小寺家臣。姫路城主。播磨の豪族・香山重道を討つ功を立てたため、主君・政職の養女を娶り、家老に就任した。のちに「小寺」姓と「職」の一字を拝領した。,小寺家臣。姫路城主。播磨の豪族・香山重道を討つ功を立てたため、主君・政職の養女を娶り、家老に就任した。のちに「小寺」姓と「職」の一字を拝領した。,小寺家臣。姫路城主。播磨の豪族・香山重道を討つ功を立てたため、主君・政職の養女を娶り、家老に就任した。のちに「小寺」姓と「職」の一字を拝領した。,小寺家臣。姫路城主。播磨の豪族・香山重道を討つ功を立てたため、主君・政職の養女を娶り、家老に就任した。のちに「小寺」姓と「職」の一字を拝領した。,小寺家臣。姫路城主。播磨の豪族・香山重道を討つ功を立てたため、主君・政職の養女を娶り、家老に就任した。のちに「小寺」姓と「職」の一字を拝領した。,小寺家臣。姫路城主。播磨の豪族・香山重道を討つ功を立てたため、主君・政職の養女を娶り、家老に就任した。のちに「小寺」姓と「職」の一字を拝領した。,9
797,母里 太兵衛,曽我 万助,,毛利 太兵衛,,,母里 友信,,,,毛利 但馬,519,322,989,1075,744,741,998,1319,741,1556,1556,1556,1556,1556,1556,1556,1556,1556,1556,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,黒田家中において後藤又兵衛と双璧をなした猛将。福島正則が大杯についだ酒を見事に飲み干し、名槍「日本号」を拝領した。その姿を「黒田節」に謡われた。,黒田家臣。後藤又兵衛と双璧をなした家中屈指の猛将。福島正則が大杯に満たした酒を呑み干し、名槍「日本号」を拝領する。その姿は今も「黒田節」に残る。,黒田家臣。後藤又兵衛と双璧をなした家中屈指の猛将。福島正則が大杯に満たした酒を呑み干し、名槍「日本号」を拝領する。その姿は今も「黒田節」に残る。,黒田家臣。後藤又兵衛と双璧をなした家中屈指の猛将。福島正則が大杯に満たした酒を呑み干し、名槍「日本号」を拝領した。その姿は今も「黒田節」に残る。,黒田家臣。後藤基次と双璧をなした家中屈指の猛将。福島正則が大杯に満たした酒を呑み干し、名槍「日本号」を拝領した。その姿は今も「黒田節」に残る。,黒田家臣。後藤基次と双璧をなした家中屈指の猛将。福島正則が大杯に満たした酒を呑み干し、名槍「日本号」を拝領した。その姿は今も「黒田節」に残る。,黒田家臣。後藤基次と双璧をなした家中屈指の猛将。福島正則が大杯に満たした酒を呑み干し、名槍「日本号」を拝領した。その姿は今も「黒田節」に残る。,黒田家臣。後藤基次と双璧をなした家中屈指の猛将。福島正則が大杯に満たした酒を呑み干し、名槍「日本号」を拝領した。その姿は今も「黒田節」に残る。,黒田家臣。後藤基次と双璧をなした家中屈指の猛将。福島正則が大杯に満たした酒を呑み干し、名槍「日本号」を拝領した。その姿は今も「黒田節」に残る。,黒田家臣。後藤基次と双璧をなした家中屈指の猛将。福島正則が大杯に満たした酒を呑み干し、名槍「日本号」を拝領した。その姿は今も「黒田節」に残る。,10
798,赤松 政秀,赤松 弥三郎,,,,,宇野 下野守,宇野 政秀,,,,521,743,980,1066,738,735,988,1294,735,1511,1510,1510,1510,1521,1521,1521,1521,1521,1521,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,赤松家一族。主家を圧倒して勢力を拡大していた浦上政宗を討つなど、赤松家の勢力回復に奔走する。１５７０年に急死した。毒殺と伝えられる。,播磨竜野城主。増長激しい浦上政宗を討ち、別所安治と結んで小寺政職や黒田職隆と戦う。赤松宗家の勢力回復に努めるが、急死した。毒殺という。,播磨竜野城主。増長激しい浦上政宗を討ち、別所安治と結んで小寺政職や黒田職隆と戦う。赤松宗家の勢力回復に努めるが、急死した。毒殺という。,赤松家臣。播磨龍野城主。主君・晴政を居城に迎える。浦上政宗を討ち、別所安治と結んで小寺政職や黒田職隆と戦うなど活躍した。のちに毒殺されたという。,赤松家臣。龍野城主。主君・晴政を居城に迎える。浦上政宗を討ち、また別所安治と結んで小寺政職や黒田職隆と戦うなど活躍した。のちに毒殺されたという。,赤松家臣。龍野城主。主君・晴政を居城に迎える。浦上政宗を討ち、また別所安治と結んで小寺政職や黒田職隆と戦うなど活躍した。のちに毒殺されたという。,赤松家臣。龍野城主。主君・晴政を居城に迎える。浦上政宗を討ち、また別所安治と結んで小寺政職や黒田職隆と戦うなど活躍した。のちに毒殺されたという。,赤松家臣。龍野城主。主君・晴政を居城に迎える。浦上政宗を討ち、また別所安治と結んで小寺政職や黒田職隆と戦うなど活躍した。のちに毒殺されたという。,赤松家臣。龍野城主。主君・晴政を居城に迎える。浦上政宗を討ち、また別所安治と結んで小寺政職や黒田職隆と戦うなど活躍した。のちに毒殺されたという。,赤松家臣。龍野城主。主君・晴政を居城に迎える。浦上政宗を討ち、また別所安治と結んで小寺政職や黒田職隆と戦うなど活躍した。のちに毒殺されたという。,10
799,高島 正澄,,,,,,,,,,,0,0,0,0,0,0,0,0,,1518,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1577,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,赤松家一族。赤松政範の叔父。中国に侵攻してきた豊臣秀吉から上月城を守るため、徹底抗戦するが、政範と共に戦死。,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1
800,三浦 貞久,,,,,,,,,,,0,0,991,1089,0,0,0,1331,1685,1509,#N/A,#N/A,1508,1508,#N/A,#N/A,#N/A,1508,1508,1548,#N/A,#N/A,1548,1548,#N/A,#N/A,#N/A,1548,1548,美作国高田城主。高田城は尼子家、毛利家の両勢力の間に位置したため、貞久が病死すると、両家の争奪戦の場となり、尼子家に占領された。,#N/A,#N/A,美作の豪族。高田城主。尼子家の攻撃を受け、数年の攻防の末に病死。間もなく高田城は尼子家に占領された。三浦家は関東の豪族・三浦義明の末裔という。,美作の豪族。高田城主。尼子家に攻められ、数年の攻防の末に病死する。間もなく高田城は尼子家に占領された。三浦家は関東の豪族・三浦義明の末裔という。,#N/A,#N/A,#N/A,美作の豪族。高田城主。尼子家に攻められ、数年の攻防の末に病死する。間もなく高田城は尼子家に占領された。三浦家は関東の豪族・三浦義明の末裔という。,美作の豪族。高田城主。尼子家に攻められ、数年の攻防の末に病死する。間もなく高田城は尼子家に占領された。三浦家は関東の豪族・三浦義明の末裔という。,5
801,三浦 貞勝,三浦 孫九郎,,,,,,,,,,0,0,992,1090,0,0,0,1333,1273,1536,#N/A,#N/A,1531,1538,#N/A,#N/A,#N/A,1538,1538,1565,#N/A,#N/A,1565,1565,#N/A,#N/A,#N/A,1565,1565,三浦貞久の子。父の死後、尼子家に占領された高田城を、旧臣とともに挙兵して奪還した。しかし、毛利家臣・三村家親に攻められて開城、自刃した。,#N/A,#N/A,美作の豪族。高田城主。貞久の嫡男。旧臣を糾合し、父の死により尼子家に奪われた高田城を奪還した。しかし、のちに三村家親の攻撃を受け敗北、自害した。,美作の豪族。高田城主。貞久の嫡男。旧臣を糾合し、父の死により尼子家に奪われた高田城を奪還した。しかし、のちに三村家親の攻撃を受け敗北、自害した。,#N/A,#N/A,#N/A,美作の豪族。高田城主。貞久の嫡男。旧臣を糾合し、父の死により尼子家に奪われた高田城を奪還した。しかし、のちに三村家親の攻撃を受け敗北、自害した。,美作の豪族。高田城主。貞久の嫡男。旧臣を糾合し、父の死により尼子家に奪われた高田城を奪還した。しかし、のちに三村家親の攻撃を受け敗北、自害した。,5
802,三浦 貞広,三浦 道祖五郎,,三浦 次郎,,,,,,,,0,0,993,1091,0,0,0,1334,1274,1537,#N/A,#N/A,1532,1542,#N/A,#N/A,#N/A,1542,1542,????,#N/A,#N/A,1576,1581,#N/A,#N/A,#N/A,1581,1581,三浦貞久の弟・貞盛の甥。高田城主。尼子家についたため、毛利家に居城を追われた。山中鹿之介らの援助で居城を一時奪還したが、再び毛利家に奪われた。,#N/A,#N/A,美作の豪族。高田城主。貞久の次男。尼子家に属したため、毛利家に居城を追われる。山中鹿之介らの援助で奪還するが再び毛利家に居城を追われ、逐電した。,美作の豪族。高田城主。貞久の次男。尼子家に属したため、毛利家に居城を追われる。山中幸盛らの援助で奪還するが、再び毛利家に居城を追われ、逐電した。,#N/A,#N/A,#N/A,美作の豪族。高田城主。貞久の次男。尼子家に属したため、毛利家に居城を追われる。山中幸盛らの援助で奪還するが、再び毛利家に居城を追われ、逐電した。,美作の豪族。高田城主。貞久の次男。尼子家に属したため、毛利家に居城を追われる。山中幸盛らの援助で奪還するが、再び毛利家に居城を追われ、逐電した。,5
803,赤松 則房,赤松 次郎,,,,,,,,,,522,742,979,1064,737,734,987,1296,734,1559,1559,1559,1559,1559,1559,1559,1559,1559,1559,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,赤松義祐の子。豊臣秀吉に従い、播磨置塩一万石を与えられる。賎ヶ岳合戦や小牧長久手の戦い、四国征伐戦などに従軍し、さらに阿波に一万石を与えられた。,義祐の子。豊臣秀吉に属し、播磨置塩１万石を安堵される。賤ヶ岳合戦や小牧長久手合戦、四国征伐戦に従軍し、さらに阿波住吉１万石を加増された。,義祐の子。豊臣秀吉に属し、播磨置塩１万石を安堵される。賤ヶ岳合戦や小牧長久手合戦、四国征伐戦に従軍し、さらに阿波住吉１万石を加増された。,豊臣家臣。義祐の子。播磨置塩１万石を安堵される。賤ヶ岳合戦や小牧長久手合戦、四国征伐に従軍し、阿波住吉１万石を加増された。朝鮮派兵にも従軍した。,豊臣家臣。義祐の子。播磨置塩１万石を安堵される。賤ヶ岳合戦や小牧長久手合戦、四国征伐に従軍し、阿波住吉１万石を加増された。朝鮮派兵にも従軍した。,豊臣家臣。義祐の子。播磨置塩１万石を安堵される。賤ヶ岳合戦や小牧長久手合戦、四国征伐に従軍し、阿波住吉１万石を加増された。朝鮮派兵にも従軍した。,豊臣家臣。義祐の子。播磨置塩１万石を安堵される。賤ヶ岳合戦や小牧長久手合戦、四国征伐に従軍し、阿波住吉１万石を加増された。朝鮮派兵にも従軍した。,豊臣家臣。義祐の子。播磨置塩１万石を安堵される。賤ヶ岳合戦や小牧長久手合戦、四国征伐に従軍し、阿波住吉１万石を加増された。朝鮮派兵にも従軍した。,豊臣家臣。義祐の子。播磨置塩１万石を安堵される。賤ヶ岳合戦や小牧長久手合戦、四国征伐に従軍し、阿波住吉１万石を加増された。朝鮮派兵にも従軍した。,豊臣家臣。義祐の子。播磨置塩１万石を安堵される。賤ヶ岳合戦や小牧長久手合戦、四国征伐に従軍し、阿波住吉１万石を加増された。朝鮮派兵にも従軍した。,10
804,中山 信正,,,,,,,,,,,0,745,999,1099,0,0,1007,1323,1233,1510,#N/A,1510,1510,1505,#N/A,#N/A,1510,1510,1510,1559,#N/A,1559,1559,1559,#N/A,#N/A,1559,1559,1559,浦上家臣。家中の有力武将。宇喜多直家の舅となる。しかし、謀叛の噂が立ったため、主君・宗景の命を受けた直家によって暗殺された。,#N/A,浦上家臣。備前亀山城主。娘は宇喜多直家の妻となる。謀叛の兆しありとして、浦上宗景の命を受けた宇喜多直家に謀殺された。,浦上家臣。備前亀山城主。娘は宇喜多直家に嫁ぐ。のちに島村盛実と談合して謀叛を企んだとの風聞により、主君・宗景の命を受けた婿・直家により殺された。,浦上家臣。亀山城主。娘は宇喜多直家に嫁いだ。のちに島村盛実と談合して謀叛を企んだとの風聞により、主君・宗景の命を受けた娘婿・直家により殺された。,#N/A,#N/A,浦上家臣。亀山城主。娘は宇喜多直家に嫁いだ。のちに島村盛実と談合して謀叛を企んだとの風聞により、主君・宗景の命を受けた娘婿・直家により殺された。,浦上家臣。亀山城主。娘は宇喜多直家に嫁いだ。のちに島村盛実と談合して謀叛を企んだとの風聞により、主君・宗景の命を受けた娘婿・直家により殺された。,浦上家臣。亀山城主。娘は宇喜多直家に嫁いだ。のちに島村盛実と談合して謀叛を企んだとの風聞により、主君・宗景の命を受けた娘婿・直家により殺された。,7
805,島村 貫阿弥,島村 観阿弥,,,,,島村 盛実,,,,,0,746,998,1098,749,747,1006,1351,747,1510,#N/A,1509,1509,1495,1495,1495,1495,1495,1495,1559,#N/A,1559,1559,1559,1559,1559,1559,1559,1559,浦上家臣。家中での勢力独占を図り、宇喜多能家を謀殺した。しかし、のちに能家の孫・直家によって殺された。謀叛を企んでいたためという。,#N/A,浦上家臣。宇喜多家と浦上家中の勢力を二分した島村家の一族。政敵・宇喜多能家を砥石城で謀殺し、実権を独占する。のち能家の孫・直家に討たれた。,浦上家臣。入道名は貫阿弥。宇喜多能家を砥石城に襲って自害させ、家中の実権を独占する。しかし、のちに謀叛疑惑により能家の孫・宇喜多直家に討たれた。,浦上家臣。入道名は貫阿弥。宇喜多能家を砥石城に襲って自害させ、家中の実権を独占する。しかし、のちに謀叛疑惑により能家の孫・宇喜多直家に討たれた。,浦上家臣。入道名は貫阿弥。宇喜多能家を砥石城に襲って自害させ、家中の実権を独占する。しかし、のちに謀叛疑惑により能家の孫・宇喜多直家に討たれた。,浦上家臣。入道名は貫阿弥。宇喜多能家を砥石城に襲って自害させ、家中の実権を独占する。しかし、のちに謀叛疑惑により能家の孫・宇喜多直家に討たれた。,浦上家臣。入道名は貫阿弥。宇喜多能家を砥石城に襲って自害させ、家中の実権を独占する。しかし、のちに謀叛疑惑により能家の孫・宇喜多直家に討たれた。,浦上家臣。入道名は貫阿弥。宇喜多能家を砥石城に襲って自害させ、家中の実権を独占する。しかし、のちに謀叛疑惑により能家の孫・宇喜多直家に討たれた。,浦上家臣。入道名は貫阿弥。宇喜多能家を砥石城に襲って自害させ、家中の実権を独占する。しかし、のちに謀叛疑惑により能家の孫・宇喜多直家に討たれた。,9
806,沼本 房家,沼本 新右衛門,,沼本 景直,,,,,,,,0,0,0,0,0,0,0,0,,1521,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1580,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,浦上家臣。のちに宇喜多直家に仕えた。「智深く勇勝れたる士」と言われた。三浦家と美作高田城をめぐって戦うなど、各地で活躍する。備中で戦死した。,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1
807,松田 元輝,,,,,,松田 元堅,松田 左近将監,,,,0,0,0,0,0,0,0,0,,1519,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1568,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,浦上家・宇喜多家と抗争した。宇喜多家とは一時、縁戚関係を結んで和睦するが居城・金川城を宇喜多直家に攻められて滅亡した。,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1
808,撮所 元常,撮所 治郎,,,,,,,,,,0,0,0,0,0,0,0,0,,1512,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1561,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,浦上家の臣。備後国竜ノ口城主。宇喜多直家の妹を妻とする。しかし、毛利家に内通して直家と戦い、直家の刺客に暗殺された。,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1
